frame,t_sec,u0,u1,u2,u3,u4,u5
85,1.416667,0.838118,0.477333,0.538127,0.402637,0.201200,0.848793
86,1.433333,0.838208,0.469456,0.528982,0.391270,0.194356,0.871792
87,1.450000,0.838373,0.462725,0.520536,0.382184,0.188957,0.891413
88,1.466667,0.838656,0.457238,0.512887,0.375597,0.185114,0.907333
89,1.483333,0.839101,0.453093,0.506127,0.371729,0.182941,0.919225
90,1.500000,0.839748,0.450386,0.500352,0.370798,0.182550,0.926765
91,1.516667,0.840481,0.449310,0.495345,0.372744,0.183855,0.930564
92,1.533333,0.841145,0.449909,0.490802,0.377241,0.186645,0.931552
93,1.550000,0.841726,0.452058,0.486687,0.384112,0.190840,0.929884
94,1.566667,0.842214,0.455634,0.482961,0.393182,0.196362,0.925714
95,1.583333,0.842596,0.460514,0.479589,0.404273,0.203130,0.919196
96,1.600000,0.842858,0.466573,0.476534,0.417210,0.211065,0.910483
97,1.616667,0.842990,0.473687,0.473758,0.431816,0.220088,0.899730
98,1.633333,0.842978,0.481733,0.471226,0.447915,0.230119,0.887090
99,1.650000,0.842811,0.490587,0.468899,0.465330,0.241080,0.872719
100,1.666667,0.842476,0.500125,0.466742,0.483885,0.252891,0.856768
101,1.683333,0.841961,0.510223,0.464717,0.503404,0.265473,0.839394
102,1.700000,0.841253,0.520758,0.462788,0.523710,0.278745,0.820749
103,1.716667,0.840341,0.531605,0.460917,0.544626,0.292630,0.800987
104,1.733333,0.839211,0.542641,0.459069,0.565977,0.307048,0.780263
105,1.750000,0.837852,0.553743,0.457205,0.587587,0.321918,0.758730
106,1.766667,0.836251,0.564785,0.455290,0.609278,0.337163,0.736543
107,1.783333,0.834396,0.575644,0.453286,0.630874,0.352702,0.713855
108,1.800000,0.832275,0.586198,0.451157,0.652199,0.368457,0.690820
109,1.816667,0.829875,0.596321,0.448865,0.673077,0.384347,0.667593
110,1.833333,0.827184,0.605890,0.446375,0.693331,0.400295,0.644327
111,1.850000,0.824190,0.614781,0.443648,0.712785,0.416219,0.621176
112,1.866667,0.820881,0.622870,0.440649,0.731262,0.432042,0.598295
113,1.883333,0.817243,0.630034,0.437340,0.748587,0.447683,0.575837
114,1.900000,0.813266,0.636148,0.433685,0.764582,0.463063,0.553956
115,1.916667,0.808936,0.641089,0.429646,0.779072,0.478104,0.532806
116,1.933333,0.804241,0.644734,0.425187,0.791879,0.492725,0.512542
117,1.950000,0.799169,0.646957,0.420272,0.802828,0.506847,0.493316
118,1.966667,0.793708,0.647636,0.414862,0.811743,0.520392,0.475284
119,1.983333,0.787845,0.646647,0.408922,0.818446,0.533279,0.458598
120,2.000000,0.781567,0.643865,0.402414,0.822762,0.545429,0.443414
121,2.016667,0.774384,0.638933,0.395113,0.824852,0.557734,0.428568
122,2.033333,0.765886,0.631696,0.386868,0.825078,0.571062,0.412868
123,2.050000,0.756185,0.622335,0.377759,0.823556,0.585295,0.396420
124,2.066667,0.745394,0.611031,0.367864,0.820405,0.600318,0.379333
125,2.083333,0.733625,0.597963,0.357262,0.815744,0.616015,0.361715
126,2.100000,0.720990,0.583314,0.346030,0.809691,0.632270,0.343673
127,2.116667,0.707603,0.567264,0.334248,0.802364,0.648966,0.325315
128,2.133333,0.693575,0.549994,0.321995,0.793882,0.665988,0.306749
129,2.150000,0.679019,0.531684,0.309348,0.784363,0.683219,0.288082
130,2.166667,0.664047,0.512515,0.296387,0.773926,0.700544,0.269423
131,2.183333,0.648772,0.492669,0.283190,0.762688,0.717846,0.250880
132,2.200000,0.633306,0.472325,0.269836,0.750769,0.735009,0.232559
133,2.216667,0.617762,0.451665,0.256403,0.738286,0.751918,0.214570
134,2.233333,0.602251,0.430870,0.242970,0.725358,0.768455,0.197019
135,2.250000,0.586888,0.410120,0.229615,0.712103,0.784506,0.180014
136,2.266667,0.571783,0.389596,0.216417,0.698641,0.799953,0.163664
137,2.283333,0.557049,0.369479,0.203455,0.685088,0.814681,0.148076
138,2.300000,0.542800,0.349949,0.190807,0.671564,0.828574,0.133357
139,2.316667,0.529146,0.331188,0.178551,0.658186,0.841516,0.119617
140,2.333333,0.516201,0.313376,0.166767,0.645074,0.853390,0.106961
141,2.350000,0.504077,0.296694,0.155533,0.632346,0.864081,0.095499
142,2.366667,0.492887,0.281323,0.144927,0.620120,0.873472,0.085338
143,2.383333,0.482742,0.267443,0.135028,0.608513,0.881448,0.076585
144,2.400000,0.473756,0.255237,0.125915,0.597646,0.887892,0.069349
145,2.416667,0.466040,0.244883,0.117666,0.587636,0.892688,0.063737
146,2.433333,0.459708,0.236563,0.110360,0.578601,0.895721,0.059858
147,2.450000,0.454871,0.230458,0.104076,0.570660,0.896873,0.057818
148,2.466667,0.451643,0.226748,0.098891,0.563932,0.896029,0.057727
149,2.483333,0.450135,0.225615,0.094885,0.558534,0.893074,0.059690
150,2.500000,0.450460,0.227239,0.092136,0.554585,0.887890,0.063817
151,2.516667,0.452849,0.231989,0.090794,0.551636,0.879851,0.070535
152,2.533333,0.457365,0.239960,0.090890,0.549155,0.868560,0.080080
153,2.550000,0.463861,0.250919,0.092325,0.547131,0.854247,0.092269
154,2.566667,0.472193,0.264635,0.095002,0.545556,0.837142,0.106922
155,2.583333,0.482215,0.280874,0.098820,0.544419,0.817475,0.123856
156,2.600000,0.493783,0.299404,0.103682,0.543713,0.795476,0.142891
157,2.616667,0.506752,0.319993,0.109489,0.543427,0.771373,0.163846
158,2.633333,0.520978,0.342410,0.116142,0.543553,0.745398,0.186537
159,2.650000,0.536313,0.366421,0.123542,0.544081,0.717780,0.210785
160,2.666667,0.552615,0.391794,0.131591,0.545001,0.688748,0.236408
161,2.683333,0.569738,0.418297,0.140189,0.546306,0.658533,0.263223
162,2.700000,0.587537,0.445698,0.149239,0.547984,0.627364,0.291050
163,2.716667,0.605868,0.473765,0.158641,0.550028,0.595472,0.319708
164,2.733333,0.624584,0.502264,0.168297,0.552428,0.563085,0.349014
165,2.750000,0.643542,0.530965,0.178108,0.555174,0.530435,0.378788
166,2.766667,0.662596,0.559634,0.187975,0.558258,0.497749,0.408848
167,2.783333,0.681601,0.588039,0.197800,0.561669,0.465259,0.439012
168,2.800000,0.700413,0.615949,0.207484,0.565400,0.433195,0.469099
169,2.816667,0.718886,0.643130,0.216928,0.569440,0.401785,0.498928
170,2.833333,0.736875,0.669351,0.226034,0.573780,0.371260,0.528316
171,2.850000,0.754237,0.694379,0.234703,0.578411,0.341850,0.557083
172,2.866667,0.770825,0.717982,0.242835,0.583324,0.313784,0.585048
173,2.883333,0.786494,0.739928,0.250333,0.588510,0.287291,0.612029
174,2.900000,0.801100,0.759984,0.257098,0.593959,0.262604,0.637843
175,2.916667,0.814498,0.777918,0.263031,0.599662,0.239949,0.662310
176,2.933333,0.826543,0.793498,0.268033,0.605610,0.219559,0.685249
177,2.950000,0.837090,0.806492,0.272006,0.611794,0.201662,0.706477
178,2.966667,0.845993,0.816667,0.274850,0.618203,0.186488,0.725814
179,2.983333,0.853109,0.823791,0.276468,0.624830,0.174267,0.743078
180,3.000000,0.858291,0.827631,0.276760,0.631664,0.165229,0.758088
181,3.016667,0.861768,0.828098,0.275442,0.639485,0.159150,0.771600
182,3.033333,0.863916,0.825402,0.272394,0.648973,0.155550,0.784493
183,3.050000,0.864813,0.819761,0.267757,0.659977,0.154279,0.796767
184,3.066667,0.864536,0.811395,0.261677,0.672342,0.155184,0.808420
185,3.083333,0.863164,0.800523,0.254297,0.685917,0.158114,0.819455
186,3.100000,0.860773,0.787363,0.245760,0.700547,0.162917,0.829868
187,3.116667,0.857443,0.772134,0.236211,0.716081,0.169441,0.839662
188,3.133333,0.853251,0.755056,0.225794,0.732365,0.177536,0.848835
189,3.150000,0.848275,0.736347,0.214651,0.749246,0.187048,0.857387
190,3.166667,0.842592,0.716227,0.202928,0.766571,0.197826,0.865318
191,3.183333,0.836281,0.694914,0.190768,0.784187,0.209719,0.872627
192,3.200000,0.829419,0.672627,0.178314,0.801942,0.222575,0.879315
193,3.216667,0.822085,0.649585,0.165710,0.819681,0.236242,0.885381
194,3.233333,0.814356,0.626007,0.153101,0.837252,0.250569,0.890825
195,3.250000,0.806309,0.602112,0.140630,0.854502,0.265403,0.895646
196,3.266667,0.798024,0.578119,0.128441,0.871279,0.280594,0.899845
197,3.283333,0.789577,0.554247,0.116677,0.887428,0.295988,0.903421
198,3.300000,0.781047,0.530715,0.105483,0.902797,0.311436,0.906374
199,3.316667,0.772512,0.507741,0.095002,0.917234,0.326784,0.908704
200,3.333333,0.764048,0.485545,0.085379,0.930584,0.341881,0.910410
201,3.350000,0.755735,0.464346,0.076756,0.942696,0.356576,0.911492
202,3.366667,0.747650,0.444362,0.069278,0.953415,0.370717,0.911951
203,3.383333,0.739871,0.425813,0.063088,0.962590,0.384152,0.911784
204,3.400000,0.732476,0.408917,0.058331,0.970066,0.396729,0.910994
205,3.416667,0.725542,0.393894,0.055150,0.975691,0.408297,0.909578
206,3.433333,0.719148,0.380962,0.053689,0.979313,0.418704,0.907538
207,3.450000,0.713371,0.370340,0.054091,0.980777,0.427798,0.904872
208,3.466667,0.708289,0.362248,0.056502,0.979931,0.435428,0.901581
209,3.483333,0.703981,0.356903,0.061063,0.976623,0.441442,0.897664
210,3.500000,0.700523,0.354526,0.067920,0.970698,0.445687,0.893121
211,3.516667,0.697749,0.355307,0.077443,0.961801,0.448355,0.887306
212,3.533333,0.695418,0.359141,0.089772,0.949814,0.449797,0.879664
213,3.550000,0.693497,0.365798,0.104709,0.934943,0.450104,0.870327
214,3.566667,0.691954,0.375050,0.122050,0.917393,0.449369,0.859430
215,3.583333,0.690757,0.386669,0.141597,0.897371,0.447682,0.847106
216,3.600000,0.689872,0.400427,0.163148,0.875081,0.445135,0.833489
217,3.616667,0.689267,0.416095,0.186503,0.850730,0.441819,0.818714
218,3.633333,0.688911,0.433444,0.211461,0.824522,0.437826,0.802913
219,3.650000,0.688769,0.452247,0.237821,0.796665,0.433248,0.786220
220,3.666667,0.688810,0.472275,0.265383,0.767362,0.428176,0.768771
221,3.683333,0.689002,0.493300,0.293945,0.736821,0.422702,0.750697
222,3.700000,0.689311,0.515093,0.323308,0.705247,0.416916,0.732133
223,3.716667,0.689705,0.537425,0.353270,0.672845,0.410911,0.713213
224,3.733333,0.690152,0.560070,0.383631,0.639820,0.404778,0.694071
225,3.750000,0.690618,0.582797,0.414190,0.606380,0.398609,0.674840
226,3.766667,0.691073,0.605379,0.444747,0.572728,0.392494,0.655654
227,3.783333,0.691482,0.627587,0.475101,0.539072,0.386526,0.636648
228,3.800000,0.691814,0.649194,0.505051,0.505616,0.380796,0.617953
229,3.816667,0.692036,0.669970,0.534396,0.472566,0.375396,0.599706
230,3.833333,0.692116,0.689687,0.562936,0.440128,0.370416,0.582039
231,3.850000,0.692020,0.708117,0.590470,0.408507,0.365949,0.565086
232,3.866667,0.691717,0.725031,0.616797,0.377910,0.362086,0.548981
233,3.883333,0.691174,0.740202,0.641718,0.348541,0.358918,0.533857
234,3.900000,0.690359,0.753401,0.665030,0.320607,0.356538,0.519849
235,3.916667,0.689238,0.764398,0.686534,0.294312,0.355036,0.507091
236,3.933333,0.687779,0.772967,0.706028,0.269864,0.354504,0.495715
237,3.950000,0.685951,0.778878,0.723313,0.247466,0.355033,0.485857
238,3.966667,0.683720,0.781904,0.738186,0.227326,0.356716,0.477649
239,3.983333,0.681053,0.781815,0.750449,0.209648,0.359643,0.471226
240,4.000000,0.677919,0.778383,0.759899,0.194639,0.363906,0.466721
241,4.016667,0.674043,0.771168,0.766870,0.181377,0.369754,0.464230
242,4.033333,0.669230,0.760072,0.771896,0.168816,0.377287,0.463670
243,4.050000,0.663564,0.745382,0.775081,0.156966,0.386376,0.464904
244,4.066667,0.657130,0.727388,0.776531,0.145843,0.396890,0.467799
245,4.083333,0.650013,0.706378,0.776348,0.135459,0.408699,0.472219
246,4.100000,0.642297,0.682639,0.774639,0.125826,0.421672,0.478029
247,4.116667,0.634067,0.656460,0.771506,0.116959,0.435679,0.485093
248,4.133333,0.625409,0.628130,0.767055,0.108870,0.450589,0.493277
249,4.150000,0.616405,0.597935,0.761388,0.101572,0.466273,0.502446
250,4.166667,0.607143,0.566166,0.754612,0.095078,0.482599,0.512463
251,4.183333,0.597705,0.533109,0.746830,0.089402,0.499439,0.523195
252,4.200000,0.588176,0.499054,0.738146,0.084557,0.516659,0.534506
253,4.216667,0.578642,0.464287,0.728665,0.080555,0.534133,0.546261
254,4.233333,0.569188,0.429098,0.718492,0.077409,0.551727,0.558324
255,4.250000,0.559897,0.393775,0.707729,0.075134,0.569312,0.570561
256,4.266667,0.550854,0.358605,0.696481,0.073742,0.586759,0.582837
257,4.283333,0.542145,0.323879,0.684854,0.073245,0.603935,0.595016
258,4.300000,0.533853,0.289881,0.672951,0.073658,0.620712,0.606963
259,4.316667,0.526065,0.256904,0.660877,0.074993,0.636958,0.618542
260,4.333333,0.518863,0.225232,0.648735,0.077263,0.652543,0.629620
261,4.350000,0.512334,0.195157,0.636631,0.080482,0.667337,0.640060
262,4.366667,0.506562,0.166963,0.624667,0.084662,0.681210,0.649729
263,4.383333,0.501631,0.140942,0.612950,0.089817,0.694031,0.658489
264,4.400000,0.497626,0.117380,0.601583,0.095960,0.705670,0.666207
265,4.416667,0.494632,0.096567,0.590670,0.103103,0.715996,0.672747
266,4.433333,0.492734,0.078789,0.580315,0.111260,0.724879,0.677974
267,4.450000,0.492016,0.064336,0.570624,0.120444,0.732189,0.681753
268,4.466667,0.492563,0.053495,0.561699,0.130668,0.737795,0.683948
269,4.483333,0.494460,0.046555,0.553647,0.141946,0.741568,0.684425
270,4.500000,0.497792,0.043804,0.546569,0.154289,0.743376,0.683049
271,4.516667,0.502766,0.045389,0.540111,0.168808,0.742995,0.679955
272,4.533333,0.509460,0.051081,0.533833,0.186438,0.740394,0.675430
273,4.550000,0.517756,0.060599,0.527721,0.206942,0.735731,0.669561
274,4.566667,0.527538,0.073665,0.521757,0.230078,0.729165,0.662438
275,4.583333,0.538690,0.090000,0.515926,0.255606,0.720856,0.654147
276,4.600000,0.551095,0.109325,0.510212,0.283284,0.710961,0.644778
277,4.616667,0.564638,0.131361,0.504599,0.312873,0.699639,0.634418
278,4.633333,0.579201,0.155829,0.499072,0.344132,0.687051,0.623156
279,4.650000,0.594669,0.182450,0.493613,0.376820,0.673353,0.611080
280,4.666667,0.610926,0.210945,0.488207,0.410697,0.658706,0.598279
281,4.683333,0.627855,0.241035,0.482839,0.445523,0.643267,0.584841
282,4.700000,0.645339,0.272441,0.477492,0.481057,0.627196,0.570854
283,4.716667,0.663263,0.304884,0.472149,0.517058,0.610652,0.556405
284,4.733333,0.681509,0.338085,0.466797,0.553285,0.593793,0.541585
285,4.750000,0.699964,0.371766,0.461417,0.589500,0.576778,0.526480
286,4.766667,0.718509,0.405647,0.455994,0.625460,0.559766,0.511179
287,4.783333,0.737027,0.439448,0.450513,0.660925,0.542916,0.495770
288,4.800000,0.755404,0.472892,0.444957,0.695655,0.526387,0.480342
289,4.816667,0.773523,0.505699,0.439310,0.729409,0.510337,0.464984
290,4.833333,0.791268,0.537591,0.433557,0.761947,0.494925,0.449782
291,4.850000,0.808521,0.568287,0.427681,0.793027,0.480310,0.434825
292,4.866667,0.825167,0.597510,0.421666,0.822411,0.466651,0.420202
293,4.883333,0.841090,0.624980,0.415497,0.849856,0.454107,0.406002
294,4.900000,0.856173,0.650419,0.409157,0.875124,0.442837,0.392311
295,4.916667,0.870301,0.673546,0.402631,0.897972,0.432998,0.379219
296,4.933333,0.883356,0.694085,0.395902,0.918161,0.424751,0.366814
297,4.950000,0.895222,0.711754,0.388955,0.935449,0.418254,0.355184
298,4.966667,0.905784,0.726277,0.381773,0.949597,0.413666,0.344416
299,4.983333,0.914925,0.737372,0.374341,0.960364,0.411145,0.334601
300,5.000000,0.922528,0.744762,0.366643,0.967510,0.410850,0.325825
301,5.016667,0.929070,0.748960,0.358201,0.971061,0.412963,0.317747
302,5.033333,0.935104,0.750754,0.348627,0.971340,0.417439,0.309961
303,5.050000,0.940634,0.750278,0.338031,0.968548,0.424107,0.302463
304,5.066667,0.945660,0.747667,0.326526,0.962888,0.432791,0.295246
305,5.083333,0.950185,0.743056,0.314225,0.954561,0.443317,0.288306
306,5.100000,0.954210,0.736578,0.301240,0.943769,0.455510,0.281638
307,5.116667,0.957737,0.728368,0.287682,0.930712,0.469198,0.275236
308,5.133333,0.960767,0.718561,0.273666,0.915594,0.484206,0.269096
309,5.150000,0.963304,0.707289,0.259301,0.898616,0.500359,0.263211
310,5.166667,0.965347,0.694689,0.244703,0.879979,0.517482,0.257577
311,5.183333,0.966900,0.680894,0.229981,0.859885,0.535404,0.252188
312,5.200000,0.967964,0.666039,0.215249,0.838536,0.553947,0.247039
313,5.216667,0.968541,0.650258,0.200619,0.816133,0.572940,0.242125
314,5.233333,0.968632,0.633685,0.186203,0.792879,0.592207,0.237441
315,5.250000,0.968240,0.616454,0.172114,0.768975,0.611575,0.232982
316,5.266667,0.967366,0.598701,0.158464,0.744622,0.630869,0.228742
317,5.283333,0.966011,0.580559,0.145365,0.720023,0.649914,0.224716
318,5.300000,0.964179,0.562162,0.132929,0.695378,0.668538,0.220898
319,5.316667,0.961870,0.543646,0.121270,0.670891,0.686564,0.217284
320,5.333333,0.959086,0.525143,0.110499,0.646761,0.703821,0.213869
321,5.350000,0.955830,0.506790,0.100728,0.623193,0.720132,0.210646
322,5.366667,0.952102,0.488719,0.092070,0.600385,0.735325,0.207612
323,5.383333,0.947905,0.471065,0.084637,0.578542,0.749224,0.204760
324,5.400000,0.943240,0.453963,0.078541,0.557863,0.761657,0.202085
325,5.416667,0.938110,0.437548,0.073895,0.538551,0.772447,0.199583
326,5.433333,0.932516,0.421952,0.070812,0.520808,0.781422,0.197248
327,5.450000,0.926460,0.407311,0.069402,0.504836,0.788406,0.195074
328,5.466667,0.919943,0.393759,0.069779,0.490835,0.793227,0.193057
329,5.483333,0.912968,0.381431,0.072056,0.479008,0.795710,0.191191
330,5.500000,0.905536,0.370460,0.076343,0.469556,0.795680,0.189471
331,5.516667,0.897119,0.359939,0.082849,0.461934,0.793248,0.187707
332,5.533333,0.887259,0.348921,0.091612,0.455421,0.788724,0.185742
333,5.550000,0.876064,0.337476,0.102493,0.449956,0.782237,0.183619
334,5.566667,0.863643,0.325678,0.115351,0.445478,0.773914,0.181382
335,5.583333,0.850101,0.313596,0.130048,0.441925,0.763882,0.179076
336,5.600000,0.835549,0.301304,0.146443,0.439238,0.752268,0.176743
337,5.616667,0.820092,0.288873,0.164398,0.437355,0.739199,0.174428
338,5.633333,0.803840,0.276376,0.183772,0.436215,0.724804,0.172175
339,5.650000,0.786898,0.263883,0.204426,0.435757,0.709210,0.170027
340,5.666667,0.769376,0.251467,0.226219,0.435920,0.692543,0.168028
341,5.683333,0.751381,0.239200,0.249014,0.436643,0.674931,0.166222
342,5.700000,0.733022,0.227153,0.272668,0.437866,0.656502,0.164654
343,5.716667,0.714404,0.215398,0.297045,0.439526,0.637383,0.163366
344,5.733333,0.695638,0.204008,0.322003,0.441564,0.617702,0.162402
345,5.750000,0.676829,0.193053,0.347403,0.443918,0.597584,0.161808
346,5.766667,0.658085,0.182607,0.373105,0.446527,0.577159,0.161625
347,5.783333,0.639516,0.172740,0.398970,0.449330,0.556553,0.161899
348,5.800000,0.621228,0.163525,0.424858,0.452267,0.535894,0.162672
349,5.816667,0.603330,0.155033,0.450629,0.455276,0.515310,0.163990
350,5.833333,0.585927,0.147337,0.476144,0.458296,0.494926,0.165895
351,5.850000,0.569130,0.140508,0.501262,0.461267,0.474872,0.168431
352,5.866667,0.553045,0.134617,0.525846,0.464126,0.455274,0.171643
353,5.883333,0.537780,0.129738,0.549754,0.466815,0.436259,0.175574
354,5.900000,0.523443,0.125941,0.572848,0.469270,0.417956,0.180268
355,5.916667,0.510142,0.123299,0.594987,0.471432,0.400490,0.185769
356,5.933333,0.497984,0.121883,0.616032,0.473240,0.383991,0.192120
357,5.950000,0.487077,0.121766,0.635843,0.474632,0.368584,0.199366
358,5.966667,0.477529,0.123019,0.654281,0.475547,0.354398,0.207550
359,5.983333,0.469448,0.125713,0.671206,0.475925,0.341560,0.216717
360,6.000000,0.462941,0.129921,0.686478,0.475705,0.330196,0.226909
361,6.016667,0.457871,0.136037,0.701078,0.475162,0.319519,0.238576
362,6.033333,0.453986,0.144310,0.716021,0.474612,0.308691,0.252049
363,6.050000,0.451221,0.154596,0.731228,0.474048,0.297763,0.267197
364,6.066667,0.449513,0.166752,0.746614,0.473467,0.286791,0.283890
365,6.083333,0.448797,0.180636,0.762098,0.472864,0.275827,0.301998
366,6.100000,0.449007,0.196103,0.777598,0.472235,0.264926,0.321389
367,6.116667,0.450080,0.213011,0.793031,0.471574,0.254139,0.341934
368,6.133333,0.451951,0.231216,0.808315,0.470878,0.243521,0.363502
369,6.150000,0.454556,0.250575,0.823368,0.470141,0.233125,0.385963
370,6.166667,0.457830,0.270944,0.838107,0.469359,0.223004,0.409185
371,6.183333,0.461709,0.292181,0.852450,0.468527,0.213212,0.433039
372,6.200000,0.466127,0.314140,0.866315,0.467641,0.203803,0.457394
373,6.216667,0.471022,0.336681,0.879620,0.466697,0.194829,0.482120
374,6.233333,0.476327,0.359659,0.892281,0.465688,0.186345,0.507085
375,6.250000,0.481979,0.382931,0.904218,0.464612,0.178402,0.532160
